 Date,Time,From,Time,To,Fare,Credit,Balance
 16/Jan/2024,12:32 PM,Darra station ,12:50 PM,Indooroopilly station ,$3.47,,$9.00
 16/Jan/2024,13:06 PM,Lambert Road - 35 (Touch on Transfer),13:19 PM,Uni of Qld Arrival Stop ,$0.00,,$9.00
 16/Jan/2024,17:29 PM,UQ Chancellors Place - Stop C ,17:31 PM,UQ Chancellors Place - Stop C ,$3.55,,$5.45
 16/Jan/2024,17:31 PM,UQ Chancellors Place - Stop D (Touch on Transfer),17:47 PM,'Toowong' Benson St ,$0.00,,$5.45
 16/Jan/2024,17:49 PM,Toowong station (Touch on Transfer),18:13 PM,Darra station ,$0.79,,$4.66
 18/Jan/2024,8:01 AM,Auto top up(Darra station ),,,,$20.00,$24.66
 18/Jan/2024,8:01 AM,Darra station ,Unknown,Failed to touch Off,$10.00,,$14.66
 30/Jan/2024,11:10 AM,Darra station ,11:34 AM,Indooroopilly station ,$3.47,,$11.19
 30/Jan/2024,11:40 AM,Lambert Road - 35 (Touch on Transfer),11:52 AM,Uni of Qld Arrival Stop ,$0.00,,$11.19
 30/Jan/2024,17:19 PM,UQ Chancellors Place - Stop A ,17:31 PM,Clarence Road - 36 ,$3.55,,$7.64
 30/Jan/2024,17:34 PM,Indooroopilly station (Touch on Transfer),17:50 PM,Darra station ,$0.79,,$6.85
 05/Feb/2024,8:04 AM,Darra station ,8:08 AM,Darra station (Cancel touch on),$0.00,,$6.85
 15/Feb/2024,14:10 PM,Indooroopilly station ,14:26 PM,Darra station ,$3.47,,$3.38
 19/Feb/2024,10:03 AM,Auto top up(Darra station ),,,,$20.00,$23.38
 19/Feb/2024,10:03 AM,Darra station ,10:29 AM,Indooroopilly station ,$3.47,,$19.91
 19/Feb/2024,10:35 AM,Lambert Road - 35 (Touch on Transfer),10:47 AM,Uni of Qld Arrival Stop ,$0.00,,$19.91
 19/Feb/2024,17:14 PM,UQ Chancellors Place - Stop A ,17:38 PM,Clarence Road - 36 ,$3.55,,$16.36
 19/Feb/2024,17:39 PM,Indooroopilly station (Touch on Transfer),17:49 PM,Darra station ,$0.79,,$15.57
